,CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,SG_ENTIDADE,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
319,0-2000-0-86807,MIRANDA,N,,Operante,Automatica,-20.39555555,0-76-0-5005608000000133, 07,132.49,MS,INMET,A722,-56.43166666,2006-11-01T21:00:00.000-03:00
320,0-2000-0-86720,MOCAMBINHO,N,,Operante,Automatica,-15.08583333,0-76-0-3135050000000270, 05,454,MG,INMET,A539,-44.01611111,2007-11-10T21:00:00.000-03:00
321,0-2000-0-86693,MONTALVANIA,N,,Operante,Automatica,-14.40833333,0-76-0-3142700000000217, 05,519.52,MG,INMET,A526,-44.40416666,2007-06-25T21:00:00.000-03:00
322,0-2000-0-81706,MONTE ALEGRE,N,,Operante,Automatica,-2,0-76-0-1504802000000482, 02,100.53,PA,INMET,A239,-54.07638888,2012-07-05T21:00:00.000-03:00
323,0-2000-0-86670,MONTE ALEGRE DE GOIAS,,,Operante,Automatica,-13.25361111,0-76-0-5213509000000211, 10,552,GO,INMET,A032,-46.89027777,2007-06-06T21:00:00.000-03:00
324,0-2000-0-86870,MONTE VERDE,N,,Operante,Automatica,-22.86166666,0-76-0-3110509000000071, 05,1544.89,MG,INMET,A509,-46.04333333,2004-12-18T21:00:00.000-03:00
325,0-2000-0-81914,MONTEIRO,N,,Operante,Automatica,-7.89444444,0-76-0-2509701000000241, 03,606.39,PB,INMET,A334,-37.12472221,2007-08-21T21:00:00.000-03:00
326,0-2000-0-86740,MONTES CLAROS,N,,Operante,Automatica,-16.68638888,0-76-0-3143302000000038, 05,645.87,MG,INMET,A506,-43.84388888,2002-12-18T22:00:00.000-02:00
327,0-2000-0-81832,MORADA NOVA,N,,Operante,Automatica,-5.0911111,0-76-0-2308708000000243, 03,93,CE,INMET,A332,-38.36472222,2007-08-23T21:00:00.000-03:00
328,0-2000-0-86934,MORRETES,,,Operante,Automatica,-25.50888888,0-76-0-4116208000000317, 08,50.31,PR,INMET,A873,-48.80861111,2008-03-12T21:00:00.000-03:00
329,0-2000-0-86755,MORRINHOS,N,,Operante,Automatica,-17.745066,0-76-0-5213806000000006, 10,751.09,GO,INMET,A003,-49.101698,2001-05-24T21:00:00.000-03:00
330,0-2000-0-81834,MOSSORO,N,,Operante,Automatica,-4.90416666,0-76-0-2408003000000189, 03,29.44,RN,INMET,A318,-37.36694443,2007-05-21T21:00:00.000-03:00
331,0-2000-0-86994,MOSTARDAS,N,,Operante,Automatica,-31.24833333,0-76-0-4312500000000315, 08,3.82,RS,INMET,A878,-50.90638888,2008-03-10T21:00:00.000-03:00
332,0-2000-0-86852,MURIAE,N,,Operante,Automatica,-21.105,0-76-0-3148202000000102, 05,282.79,MG,INMET,A517,-42.37583332,2006-08-29T21:00:00.000-03:00
333,0-2000-0-81839,NATAL,N,,Pane,Automatica,-5.83722221,0-76-0-2408102000000060, 03,47.46,RN,INMET,A304,-35.20805555,2003-02-23T21:00:00.000-03:00
334,0-2000-0-86768,NHUMIRIM,N,,Operante,Automatica,-18.9886111,0-76-0-5003207000000092, 07,102.26,MS,INMET,A717,-56.62277777,2006-08-01T21:00:00.000-03:00
335,0-2000-0-84823,NITEROI,N,,Operante,Automatica,-22.86749999,0-76-0-3303302000000580, 06,6,RJ,INMET,A627,-43.10194444,2018-07-12T21:00:00.000-03:00
336,0-2000-0-86600,NOSSA SENHORA DA GLORIA,N,,Operante,Automatica,-10.20777777,0-76-0-2804508000000543, 04,271,SE,INMET,A453,-37.43194443,2017-03-23T21:00:00.000-03:00
337,0-2000-0-86901,NOVA FATIMA,N,,Pane,Automatica,-23.41527777,0-76-0-4117008000000174, 08,664.31,PR,INMET,A842,-50.57777777,2007-02-07T21:00:00.000-03:00
338,0-2000-0-86889,NOVA FRIBURGO - SALINAS,,,Operante,Automatica,-22.33472221,0-76-0-3303401000000466, 06,1070,RJ,INMET,A624,-42.67694443,2010-09-17T21:00:00.000-03:00
339,0-2000-0-86663,NOVA MARINGA,,,Operante,Automatica,-13.0386111,0-76-0-5108907000000338, 09,334.36,MT,INMET,A928,-57.09222221,2008-04-15T21:00:00.000-03:00
340,0-2000-0-86706,NOVA PORTEIRINHA (JANAUBA),N,,Operante,Automatica,-15.80277777,0-76-0-3135100000000533, 05,532,MG,INMET,A563,-43.29694444,2016-11-18T21:00:00.000-03:00
341,0-2000-0-86919,NOVA TEBAS,N,,Pane,Automatica,-24.43388888,0-76-0-4117271000000164, 08,660,PR,INMET,A822,-51.95388888,2006-12-20T21:00:00.000-03:00
342,0-2000-0-86665,NOVA UBIRATA,,,Operante,Automatica,-13.41111111,0-76-0-5106240000000337, 09,466.48,MT,INMET,A929,-54.75222222,2008-04-12T21:00:00.000-03:00
343,0-2000-0-81812,NOVO ARIPUANA,N,,Operante,Automatica,-8.0911111,0-76-0-1303304000000594, 01,45,AM,INMET,A144,-60.38055554,2019-07-17T21:00:00.000-03:00
344,0-2000-0-86938,NOVO HORIZONTE,N,,Operante,Automatica,-26.40638888,0-76-0-4203600000000432, 08,943.57,SC,INMET,A816,-52.85027777,2008-09-19T21:00:00.000-03:00
345,0-2000-0-81784,NOVO REPARTIMENTO,N,,Pane,Automatica,-4.24388888,0-76-0-1505064000000410, 02,100.76,PA,INMET,A235,-49.93944444,2008-07-22T21:00:00.000-03:00
346,0-2000-0-81675,OBIDOS,N,,Operante,Automatica,-1.88083332,0-76-0-1505106000000481, 02,89.64,PA,INMET,A232,-55.51972221,2012-07-04T21:00:00.000-03:00
347,0-2000-0-81869,OEIRAS,,,Operante,Automatica,-6.97416666,0-76-0-2207009000000409, 03,154.03,PI,INMET,A354,-42.14694444,2008-07-21T21:00:00.000-03:00
348,0-2000-0-81609,OIAPOQUE,N,,Operante,Automatica,3.81361111,0-76-0-1600501000000428, 02,15.14,AP,INMET,A242,-51.8625,2008-09-10T21:00:00.000-03:00
349,0-2000-0-84819,OLIVEIRA,N,,Operante,Automatica,-20.715,0-76-0-3145604000000560, 05,1025,MG,INMET,A570,-44.86444444,2017-10-18T21:00:00.000-03:00
350,0-2000-0-81910,OURICURI,N,,Operante,Automatica,-7.88583333,0-76-0-2609907000000462, 03,457.85,PE,INMET,A366,-40.10277777,2010-08-10T21:00:00.000-03:00
351,0-2000-0-86866,OURINHOS,N,,Operante,Automatica,-23.00055555,0-76-0-3534708000000101, 07,500,SP,INMET,A716,-49.84333333,2006-08-28T21:00:00.000-03:00
352,0-2000-0-86823,OURO BRANCO,N,,Operante,Automatica,-20.55666666,0-76-0-3145901000000091, 05,1048.2,MG,INMET,A513,-43.75611111,2006-07-27T21:00:00.000-03:00
353,0-2000-0-81742,PACAJA,N,,Pane,Automatica,-3.8436111,0-76-0-1505486000000292, 02,89.02,PA,INMET,A210,-50.63805555,2008-02-26T21:00:00.000-03:00
354,0-2000-0-81957,PALMARES,N,,Operante,Automatica,-8.66666666,0-76-0-2610004000000420, 03,164.01,PE,INMET,A357,-35.56805554,2008-09-03T21:00:00.000-03:00
355,0-2000-0-86607,PALMAS,N,,Operante,Automatica,-10.14777777,0-76-0-1721000000000070, 10,267,TO,INMET,A009,-48.31444444,2004-12-16T21:00:00.000-03:00
356,0-2000-0-86953,PALMEIRA DAS MISSOES,,,Operante,Automatica,-27.92027777,0-76-0-4313706000000291, 08,614.11,RS,INMET,A856,-53.31805554,2008-02-25T21:00:00.000-03:00
357,0-2000-0-81995,PALMEIRA DOS INDIOS,,,Operante,Automatica,-9.42027777,0-76-0-2700805000000224, 03,278.01,AL,INMET,A327,-36.62027777,2007-07-10T21:00:00.000-03:00
358,0-2000-0-81994,PAO DE ACUCAR,N,,Operante,Automatica,-9.74916666,0-76-0-2706406000000230, 03,20.83,AL,INMET,A323,-37.43083332,2007-07-13T21:00:00.000-03:00
359,0-2000-0-86747,PARACATU,N,,Operante,Automatica,-17.24444444,0-76-0-3147006000000576, 05,705,MG,INMET,A571,-46.88166666,2018-03-15T21:00:00.000-03:00
360,0-2000-0-81745,PARAGOMINAS,,,Operante,Automatica,-2.90055555,0-76-0-1505502000000258, 02,88,PA,INMET,A212,-47.49499999,2007-10-17T21:00:00.000-03:00
361,0-2000-0-86650,PARANA,N,,Operante,Automatica,-12.615,0-76-0-1716208000000073, 10,284.96,TO,INMET,A010,-47.87194443,2005-03-03T21:00:00.000-03:00
362,0-2000-0-86792,PARANAIBA,N,,Operante,Automatica,-19.69555555,0-76-0-5006309000000137, 07,408.06,MS,INMET,A710,-51.18166666,2006-11-09T21:00:00.000-03:00
363,0-2000-0-86862,PARANAPOEMA,N,,Operante,Automatica,-22.65833333,0-76-0-4118303000000302, 08,308.7,PR,INMET,A850,-52.13444444,2008-03-03T21:00:00.000-03:00
364,0-2000-0-86684,PARANATINGA,N,,Operante,Automatica,-14.42138888,0-76-0-5106307000000160, 09,476.91,MT,INMET,A915,-54.0361111,2006-12-18T21:00:00.000-03:00
365,0-2000-0-86733,PARANOA (COOPA-DF),N,,Operante,Automatica,-16.012222,0-76-0-5300108000000537, 10,1043,DF,INMET,A047,-47.557417,2017-02-06T21:00:00.000-03:00
366,0-2000-0-86913,PARATY,N,,Operante,Automatica,-23.2236111,0-76-0-3303807000000141, 06,3,RJ,INMET,A619,-44.72694443,2006-11-18T21:00:00.000-03:00
367,0-2000-0-86732,PARAUNA,N,,Operante,Automatica,-16.9625,0-76-0-5216403000000324, 10,678.74,GO,INMET,A027,-50.42555554,2008-03-28T21:00:00.000-03:00
368,0-2000-0-81703,PARINTINS,N,,Operante,Automatica,-2.63916666,0-76-0-1303403000000332, 01,18.72,AM,INMET,A123,-56.75611111,2008-04-10T21:00:00.000-03:00
369,0-2000-0-81752,PARNAIBA,N,,Operante,Automatica,-3.08666666,0-76-0-2207702000000051, 03,52.11,PI,INMET,A308,-41.78305554,2003-02-05T22:00:00.000-02:00
370,0-2000-0-81963,PARQUE ESTADUAL CHANDLESS,N,,Pane,Automatica,-9.35833333,0-76-0-1200435000000413, 01,184.51,AC,INMET,A102,-69.92638888,2008-08-04T21:00:00.000-03:00
371,0-2000-0-86873,PASSA QUATRO,N,,Operante,Automatica,-22.39583333,0-76-0-3147600000000201, 05,1017.1,MG,INMET,A529,-44.96194444,2007-05-29T21:00:00.000-03:00
372,0-2000-0-86963,PASSO FUNDO,N,,Operante,Automatica,-28.226805,0-76-0-4314100000000147, 08,680.67,RS,INMET,A839,-52.403582,2006-11-26T21:00:00.000-03:00
373,0-2000-0-86819,PASSOS,N,,Operante,Automatica,-20.745237,0-76-0-3147907000000086, 05,781.7,MG,INMET,A516,-46.633916,2006-07-15T21:00:00.000-03:00
374,0-2000-0-81913,PATOS,N,,Pane,Automatica,-7.07972221,0-76-0-2510808000000235, 03,263.66,PB,INMET,A321,-37.27277777,2007-07-20T21:00:00.000-03:00
375,0-2000-0-84811,PATOS DE MINAS,N,,Operante,Automatica,-18.52055554,0-76-0-3148004000000545, 05,950,MG,INMET,A562,-46.44055555,2017-05-11T21:00:00.000-03:00
376,0-2000-0-86778,PATROCINIO,N,,Operante,Automatica,-18.996684,0-76-0-3148103000000097, 05,978.11,MG,INMET,A523,-46.985935,2006-08-21T21:00:00.000-03:00
377,0-2000-0-81950,PAULISTANA,N,,Operante,Automatica,-8.132288,0-76-0-2207801000000246, 03,376,PI,INMET,A330,-41.142945,2007-08-30T21:00:00.000-03:00
378,0-2000-0-81941,PEDRO AFONSO,N,,Operante,Automatica,-8.9686111,0-76-0-1716505000000170, 10,189.71,TO,INMET,A020,-48.17722221,2007-01-22T21:00:00.000-03:00
379,0-2000-0-86649,PEIXE,N,,Operante,Automatica,-12.01527777,0-76-0-1716604000000150, 10,250.87,TO,INMET,A018,-48.54444444,2006-11-30T21:00:00.000-03:00
380,0-2000-0-81991,PETROLINA,N,,Operante,Automatica,-9.38833333,0-76-0-2611101000000059, 03,372.72,PE,INMET,A307,-40.52333332,2003-02-20T21:00:00.000-03:00
381,0-2000-0-86673,PIATA,N,,Operante,Automatica,-13.155681,0-76-0-2924306000000358, 04,1283.95,BA,INMET,A430,-41.774125,2008-05-02T21:00:00.000-03:00
382,0-2000-0-86876,PICO DO COUTO,N,,Operante,Automatica,-22.46472222,0-76-0-3303906000000121, 06,1777,RJ,INMET,A610,-43.29138888,2006-10-21T21:00:00.000-03:00
383,0-2000-0-81908,PICOS,N,,Operante,Automatica,-7.0711111,0-76-0-2208007000000440, 03,232.91,PI,INMET,A343,-41.40416666,2008-12-11T21:00:00.000-03:00
384,0-2000-0-86868,PIRACICABA,N,,Operante,Automatica,-22.70305555,0-76-0-3538709000000110, 07,566.46,SP,INMET,A726,-47.62333332,2006-09-25T21:00:00.000-03:00
385,0-2000-0-81980,PIRANHAS,N,,Operante,Automatica,-9.62222221,0-76-0-2707107000000559, 03,187,AL,INMET,A371,-37.76722221,2017-09-19T21:00:00.000-03:00
386,0-2000-0-86759,PIRAPORA,N,,Operante,Automatica,-17.258064,0-76-0-3151206000000220, 05,505.32,MG,INMET,A545,-44.835556,2007-07-03T21:00:00.000-03:00
