,CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,SG_ENTIDADE,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
132,0-2000-0-82690,SERIDO (CAICO),N,,Operante,Convencional,-6.46749999,0-76-0-2402006000W82690, 03,171.26,RN,INMET,82690,-37.08499999,1995-03-13T21:00:00.000-03:00
133,0-2000-0-83851,SOROCABA,N,,Operante,Convencional,-23.47999999,0-76-0-3552205000W83851, 07,597.58,SP,INMET,83851,-47.42666666,1927-12-31T21:00:00.000-03:00
134,0-2000-0-82797,SURUBIM,N,,Operante,Convencional,-7.839628,0-76-0-2614501000W82797, 03,421.44,PE,INMET,82797,-35.801056,1929-09-30T21:00:00.000-03:00
135,0-2000-0-83235,TAGUATINGA,N,,Operante,Convencional,-12.40222222,0-76-0-1720903000W83235, 10,604.88,TO,INMET,83235,-46.43833333,1915-12-21T21:00:00.000-03:00
136,0-2000-0-82807,TARAUACA,N,,Operante,Convencional,-8.16027777,0-76-0-1200609000W82807, 01,172.27,AC,INMET,82807,-70.7686111,1966-06-05T21:00:00.000-03:00
137,0-2000-0-82317,TEFE,N,,Operante,Convencional,-3.38027777,0-76-0-1304203000W82317, 01,56,AM,INMET,82317,-64.72527777,1929-01-03T21:00:00.000-03:00
138,0-2000-0-82578,TERESINA,S,,Operante,Convencional,-5.03472221,0-76-0-2211001000W82578, 03,75.73,PI,INMET,82578,-42.80138888,1911-03-20T21:25:56.000-02:34
139,0-2000-0-83744,TERESOPOLIS,N,,Operante,Convencional,-22.41722221,0-76-0-3305802000W83744, 06,874.2,RJ,INMET,83744,-42.97222221,1912-12-31T21:25:56.000-02:34
140,0-2000-0-82145,TRACUATEUA,N,,Operante,Convencional,-1.06361111,0-76-0-1508035000W82145, 02,24.68,PA,INMET,82145,-46.86527777,1972-09-07T21:00:00.000-03:00
141,0-2000-0-82361,TUCURUI,N,,Operante,Convencional,-3.76,0-76-0-1508100000W82361, 02,27.83,PA,INMET,82361,-49.66666666,1969-12-31T21:00:00.000-03:00
